estado	inicio	varinicio	varfim	pt_v	id	inteiro	real	literal	leia	escreva	lit	num	rcb	opm	se	ab_p	fc_p	entao	opr	fimse	repita	fimrepita	fim	$
0	s2	e3	e3	e1	e1	e3	e3	e3	e8	e8	e1	e1	e6	e7	e1	e1	e1	e1	e7	e1	e1	e1	e1	
1	e1	e3	e3	e1	e1	e3	e3	e3	e8	e8	e1	e1	e6	e7	e1	e1	e1	e1	e7	e1	e1	e1	e1	acc
2	e1	s4	e2	e2	e2	e2	e2	e2	e8	e8	e1	e1	e6	e7	e1	e1	e1	e1	e7	e1	e1	e1	e1	
3	e1	e2	e2	e1	s13	e3	e3	e3	s11	s12	e1	e1	e6	e7	s16	e1	e1	e1	e7	e1	s17	e1	s10	
4	e1	e1	s20	e1	e1	s22	s23	s24	e8	e8	e1	e1	e6	e7	e1	e1	e1	e1	e7	e1	e1	e1	e1	
5	e1	e3	e3	e1	e1	e3	e3	e3	e8	e8	e1	e1	e6	e7	e1	e1	e1	e1	e7	e1	e1	e1	e1	r1
6	e1	e3	e3	e1	s13	e3	e3	e3	s11	s12	e1	e1	e6	e7	s16	e1	e1	e1	e7	e1	s17	e1	s10	
7	e1	e3	e3	e1	s13	e3	e3	e3	s11	s12	e1	e1	e6	e7	s16	e1	e1	e1	e7	e1	s17	e1	s10	
8	e1	e3	e3	e1	s13	e3	e3	e3	s11	s12	e1	e1	e6	e7	s16	e1	e1	e1	e7	e1	s17	e1	s10	
9	e1	e3	e3	e1	s13	e3	e3	e3	s11	s12	e1	e1	e6	e7	s16	e1	e1	e1	e7	e1	s17	e1	s10	
10	e1	e3	e3	e1	e1	e3	e3	e3	e8	e8	e1	e1	e6	e7	e1	e1	e1	e1	e7	e1	e1	e1	e1	r37
11	e8	e8	e8	e8	s29	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	
12	e8	e8	e8	e8	s33	e8	e8	e8	e8	e8	s31	s32	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	
13	e6	e6	e6	e6	e6	e6	e6	e6	e6	e6	e6	e6	s34	e6	e6	e6	e6	e6	e6	e6	e6	e6	e6	
14	e1	e3	e3	e1	s13	e3	e3	e3	s11	s12	e1	e1	e6	e7	s16	e1	e1	e1	e7	s39	e1	e1	e1	
15	e1	e3	e3	e1	s13	e3	e3	e3	s11	s12	e1	e1	e6	e7	s16	e1	e1	e1	e7	e1	e1	s44	e1	
16	e4	e4	e4	e4	e4	e4	e4	e4	e4	e4	e4	e4	e4	e4	e4	s45	e4	e4	e4	e4	e4	e4	e4	
17	e5	e5	e5	e5	e5	e5	e5	e5	e5	e5	e5	e5	e5	e5	e5	s46	e5	e5	e5	e5	e5	e5	e5	
18	e1	e3	e3	e1	r2	e3	e3	e3	r2	r2	e1	e1	e6	e7	r2	e1	e1	e1	e7	e1	r2	e1	r2	
19	e1	e3	s20	e1	e1	s22	s23	s24	e8	e8	e1	e1	e6	e7	e1	e1	e1	e1	e7	e1	e1	e1	e1	
20	e1	e3	e3	s48	e1	e3	e3	e3	e1	e1	e1	e1	e6	e7	e1	e1	e1	e1	e7	e1	e1	e1	e1	
21	e2	e2	e2	e2	s50	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	
22	e2	e2	e2	e2	r7	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	
23	e2	e2	e2	e2	r8	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	
24	e2	e2	e2	e2	r9	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	
25	e1	e3	e3	e1	e1	e3	e3	e3	e8	e8	e1	e1	e6	e7	e1	e1	e1	e1	e7	e1	e1	e1	e1	r10
26	e1	e3	e3	e1	e1	e3	e3	e3	e8	e8	e1	e1	e6	e7	e1	e1	e1	e1	e7	e1	e1	e1	e1	r16
27	e1	e3	e3	e1	e1	e3	e3	e3	e8	e8	e1	e1	e6	e7	e1	e1	e1	e1	e7	e1	e1	e1	e1	r22
28	e1	e3	e3	e1	e1	e3	e3	e3	e8	e8	e1	e1	e6	e7	e1	e1	e1	e1	e7	e1	e1	e1	e1	r30
29	e8	e8	e8	s51	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	
30	e8	e8	e8	s52	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	
31	e8	e8	e8	r13	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	
32	e8	e8	e8	r14	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	
33	e8	e8	e8	r15	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	
34	e6	e6	e6	e6	s55	e6	e6	e6	e6	e6	e6	s56	e6	e6	e6	e6	e6	e6	e6	e6	e6	e6	e6	
35	e1	e3	e3	e1	r23	e3	e3	e3	r23	r23	e1	e1	e6	e7	r23	e1	e1	e1	e7	r23	r23	r23	r23	
36	e1	e3	e3	e1	s13	e3	e3	e3	s11	s12	e1	e1	e6	e7	s16	e1	e1	e1	e7	s39	e1	e1	e1	
37	e1	e3	e3	e1	s13	e3	e3	e3	s11	s12	e1	e1	e6	e7	s16	e1	e1	e1	e7	s39	e1	e1	e1	
38	e1	e3	e3	e1	s13	e3	e3	e3	s11	s12	e1	e1	e6	e7	s16	e1	e1	e1	e7	s39	e1	e1	e1	
39	e1	e3	e3	e1	r29	e3	e3	e3	r29	r29	e1	e1	e6	e7	r29	e1	e1	e1	e7	r29	r29	r29	r29	
40	e1	e3	e3	e1	r31	e3	e3	e3	r31	r31	e1	e1	e6	e7	r31	e1	e1	e1	e7	e1	r31	e1	r31	
41	e1	e3	e3	e1	s13	e3	e3	e3	s11	s12	e1	e1	e6	e7	s16	e1	e1	e1	e7	e1	e1	s44	e1	
42	e1	e3	e3	e1	s13	e3	e3	e3	s11	s12	e1	e1	e6	e7	s16	e1	e1	e1	e7	e1	e1	s44	e1	
43	e1	e3	e3	e1	s13	e3	e3	e3	s11	s12	e1	e1	e6	e7	s16	e1	e1	e1	e7	e1	e1	s44	e1	
44	e1	e3	e3	e1	r36	e3	e3	e3	r36	r36	e1	e1	e6	e7	r36	e1	e1	e1	e7	e1	r36	e1	r36	
45	e4	e4	e4	e4	s55	e4	e4	e4	e4	e4	e4	s56	e4	e4	e4	e4	e4	e4	e4	e4	e4	e4	e4	
46	e5	e5	e5	e5	s55	e5	e5	e5	e5	e5	e5	s56	e5	e5	e5	e5	e5	e5	e5	e5	e5	e5	e5	
47	e1	e3	e3	e1	r3	e3	e3	e3	r3	r3	e1	e1	e6	e7	r3	e1	e1	e1	e7	e1	r3	e1	r3	
48	e1	e3	e3	e1	r4	e3	e3	e3	r4	r4	e1	e1	e6	e7	r4	e1	e1	e1	e7	e1	r4	e1	r4	
49	e2	e2	e2	s66	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	
50	e2	e2	e2	r6	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	
51	e1	e3	e3	e1	r11	e3	e3	e3	r11	r11	e1	e1	e6	e7	r11	e1	e1	e1	e7	r11	r11	r11	r11	
52	e1	e3	e3	e1	r12	e3	e3	e3	r12	r12	e1	e1	e6	e7	r12	e1	e1	e1	e7	r12	r12	r12	r12	
53	e6	e6	e6	s67	e6	e6	e6	e6	e6	e6	e6	e6	e6	e6	e6	e6	e6	e6	e6	e6	e6	e6	e6	
